iter	MultiClass
0	2.200108988
1	1.856705757
2	1.656768287
3	1.505397276
4	1.383811478
5	1.275646352
6	1.193530713
7	1.118301556
8	1.044106713
9	0.9835241813
10	0.9481250508
11	0.9071154928
12	0.8613787314
13	0.8305366027
14	0.8031000344
15	0.7641787685
16	0.7401097938
17	0.7133482962
18	0.6928833788
19	0.6759649109
20	0.6543388607
21	0.6398016443
22	0.622966148
23	0.6048014251
24	0.5920122466
25	0.5800557443
26	0.5679257543
27	0.5576885641
28	0.5478956765
29	0.537648452
30	0.530997283
31	0.5242886821
32	0.5144116844
33	0.5048277517
34	0.5001679547
35	0.4896647231
36	0.4836328564
37	0.4785671028
38	0.4733056008
39	0.469865904
40	0.4644561219
41	0.4598557179
42	0.4551134774
43	0.4506350377
44	0.4473356291
45	0.4410827769
46	0.4374758371
47	0.43485199
48	0.4321426299
49	0.4289292918
50	0.4254698284
51	0.4225423537
52	0.4183734477
53	0.4158114008
54	0.4139127071
55	0.4102441853
56	0.4082154282
57	0.4069413021
58	0.4053218345
59	0.4042843471
60	0.4015447407
61	0.3985900828
62	0.3951753476
63	0.3928467013
64	0.3909358895
65	0.3887203148
66	0.3870228898
67	0.3851396365
68	0.3836058833
69	0.3818310319
70	0.3807654954
71	0.3797454722
72	0.3780140832
73	0.3768919864
74	0.3754858858
75	0.3743160121
76	0.3730524013
77	0.3714524185
78	0.3691691539
79	0.3682875265
80	0.3667063476
81	0.3660115514
82	0.364790231
83	0.363368285
84	0.3620307589
85	0.3608514234
86	0.3593843414
87	0.3581545134
88	0.3571756881
89	0.3552570819
90	0.3545767512
91	0.3536325455
92	0.3531498221
93	0.351793599
94	0.3504932744
95	0.3496232276
96	0.3482115031
97	0.3473161443
98	0.3465738757
99	0.3455770139
