iter	Passed	Remaining
0	110	10936
1	220	10785
2	327	10588
3	436	10464
4	539	10259
5	645	10111
6	754	10029
7	863	9928
8	968	9794
9	1074	9671
10	1189	9621
11	1298	9521
12	1407	9417
13	1514	9302
14	1622	9196
15	1732	9095
16	1846	9013
17	1955	8906
18	2068	8816
19	2176	8705
20	2288	8610
21	2402	8516
22	2519	8434
23	2634	8343
24	2746	8238
25	2857	8133
26	2968	8025
27	3076	7910
28	3186	7801
29	3299	7699
30	3413	7597
31	3528	7497
32	3641	7392
33	3753	7286
34	3865	7177
35	3978	7072
36	4094	6972
37	4212	6872
38	4329	6771
39	4438	6658
40	4557	6557
41	4670	6449
42	4781	6338
43	4889	6223
44	5005	6117
45	5119	6010
46	5233	5901
47	5342	5787
48	5452	5675
49	5568	5568
50	5680	5457
51	5790	5345
52	5902	5234
53	6009	5119
54	6122	5008
55	6237	4900
56	6347	4788
57	6460	4678
58	6570	4565
59	6682	4455
60	6796	4344
61	6910	4235
62	7020	4123
63	7131	4011
64	7245	3901
65	7357	3790
66	7468	3678
67	7582	3568
68	7694	3457
69	7807	3346
70	7918	3234
71	8037	3125
72	8147	3013
73	8260	2902
74	8374	2791
75	8486	2679
76	8599	2568
77	8711	2457
78	8823	2345
79	8940	2235
80	9056	2124
81	9169	2012
82	9278	1900
83	9391	1788
84	9499	1676
85	9611	1564
86	9720	1452
87	9828	1340
88	9937	1228
89	10052	1116
90	10164	1005
91	10274	893
92	10387	781
93	10497	670
94	10608	558
95	10719	446
96	10830	334
97	10944	223
98	11058	111
99	11172	0
